City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
507,Alofi,-19.0595,-169.9187,81.59,79,99,15.73,NU,1677967779
508,Kautokeino,69.0125,23.0412,20.95,95,100,11.92,NO,1677967779
509,Bama,11.5221,13.6856,85.1,15,67,7.81,NG,1677967780
510,Maţāy,28.419,30.7792,74.3,14,0,6.2,EG,1677967780
511,Turtas,58.9417,69.1325,9.64,98,97,5.26,RU,1677967790
512,Port Hardy,50.6996,-127.4199,42.4,69,15,4.59,CA,1677967790
513,Coahuayana Viejo,18.7333,-103.6833,84.49,47,69,7.18,MX,1677967791
514,Grand Gaube,-20.0064,57.6608,80.38,79,100,1.01,MU,1677967791
515,Hailey,43.5196,-114.3153,28.8,81,100,0.0,US,1677967791
516,Jiutai,44.1525,125.8328,32.04,65,0,8.14,CN,1677967792
517,Gweta,-20.1833,25.2333,81.54,35,1,2.68,BW,1677967792
518,San Quintín,30.4833,-115.95,58.44,67,1,15.23,MX,1677967792
519,Tateyama,34.9833,139.8667,49.1,72,100,16.82,JP,1677967792
520,Kununurra,-15.7667,128.7333,75.18,94,37,3.44,AU,1677967793
521,Kamenka,51.3223,42.7678,32.0,84,100,17.52,RU,1677967793
522,Nangomba,-10.9,38.5,72.23,91,100,6.04,TZ,1677967793
523,Zapolyarnyy,69.4154,30.8136,24.08,89,100,8.97,RU,1677967793
524,Urozhaynoye,44.7883,44.9228,41.4,78,96,5.77,RU,1677967794
525,Boa Vista,2.8197,-60.6733,85.98,54,40,10.36,BR,1677967794
526,Westport,41.1415,-73.3579,44.58,72,96,5.01,US,1677967232
527,Zeya,53.75,127.2667,14.92,100,100,3.13,RU,1677967794
528,Melito di Porto Salvo,37.9222,15.7714,52.92,87,100,9.22,IT,1677967794
529,Tete,-16.1564,33.5867,78.89,100,20,0.0,MZ,1677967795
530,Curaçá,-8.9903,-39.9094,88.61,35,64,13.58,BR,1677967567
531,Coyhaique,-45.5752,-72.0662,48.15,87,100,9.22,CL,1677967795
532,Mutoko,-17.397,32.2268,63.82,92,31,1.81,ZW,1677967795
533,Cockburn Town,21.4612,-71.1419,77.76,78,49,18.21,TC,1677967796
534,Raymond,43.9015,-70.4703,31.23,91,100,7.76,US,1677967796
535,Rawson,-43.3002,-65.1023,74.59,27,66,11.23,AR,1677967796
536,Kedrovyy,56.1667,91.8167,16.21,93,100,7.9,RU,1677967797
537,Juneau,58.3019,-134.4197,32.0,74,20,18.41,US,1677967797
538,Preiļi,56.2944,26.7246,28.63,94,100,14.79,LV,1677967530
539,Tuxpan,19.55,-103.4,82.54,25,76,8.21,MX,1677967797
540,Morondava,-20.2833,44.2833,77.02,88,100,23.31,MG,1677967797
541,Izberbash,42.5696,47.8645,41.09,89,68,4.92,RU,1677967798
542,St. Marys,30.7305,-81.5465,78.13,67,0,9.22,US,1677967797
543,Savalou,7.9281,1.9756,83.68,63,90,4.43,BJ,1677967588
544,Port Lincoln,-34.7333,135.8667,67.69,62,44,12.26,AU,1677967601
545,Togitsu,32.8333,129.85,40.98,93,0,11.5,JP,1677967798
546,Lages,-27.8161,-50.3261,64.63,96,16,2.93,BR,1677967798
547,Tirumullaivāsal,11.2333,79.8333,76.44,75,13,7.85,IN,1677967799
548,Port Moresby,-9.4431,147.1797,76.39,79,100,7.85,PG,1677967799
549,Porto-Novo,6.4965,2.6036,81.12,80,78,6.64,BJ,1677967799
550,Takhtamygda,54.1,123.5667,11.23,100,86,2.51,RU,1677967800
551,Atraulia,26.3333,82.95,66.36,36,0,8.77,IN,1677967800
552,Yatou,37.15,122.3833,39.33,76,100,6.08,CN,1677967800
553,Laureles,26.1092,-97.4941,80.64,58,4,8.99,US,1677967800
554,Codrington,-38.2667,141.9667,60.62,75,10,7.74,AU,1677967801
555,Kinkala,-4.3614,14.7644,74.68,88,97,2.84,CG,1677967801
556,Bata,1.8639,9.7658,81.39,82,29,5.86,GQ,1677967811
557,Lagunas,-5.2269,-75.6753,74.66,97,99,2.89,PE,1677967812
558,San Dionisio del Mar,16.3333,-94.75,83.34,58,8,8.99,MX,1677967812
559,Eyl,7.9803,49.8164,75.24,74,42,12.82,SO,1677967812
560,Clyde River,70.4692,-68.5914,0.88,77,99,5.32,CA,1677967757
561,Beïnamar,8.6698,15.3813,86.61,17,48,2.28,TD,1677967813
562,Opuwo,-18.0607,13.84,61.34,43,0,3.85,NA,1677967813
563,Inhambane,-23.865,35.3833,76.44,90,23,13.24,MZ,1677967813
